17:PROTX1@nn@RNAi@nsubj@influence@dobj@expression@nn@PROTX2	DLX4	Bax
2694:PROTX1@prep_between@crosstalk@prep_between@pathways@nn@PROTX2	PRL	EGF
2696:PROTX1@nsubj@caused@dobj@phosphorylation@prep_of@PROTX2	PRL	EGFR
2697:PROTX1@nsubj@synergized@prep_with@PROTX2	PRL	EGF
2765:PROTX1@prep_of@deregulation@nsubj@complex@prep_during@progression@nn@PROTX2	KLK6	breast cancer
2776:PROTX1@nsubj@suppresses@dobj@PROTX2	BRCA1	breast cancer
2784:PROTX1@nsubjpass@associated@prep_with@production@nn@PROTX2	HAS2	HA
2785:PROTX1@prep_of@transfection@nsubj@resulted@prep_in@expression@amod@PROTX2	HAS2	HAS2
2790:PROTX1@nsubjpass@considered@dobj@standard@prep_of@PROTX2	PST	care
2797:PROTX1@amod@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	CYP1A1	breast cancer
2806:PROTX1@num@Glu298Asp@prep_between@association@prep_between@risk@nn@PROTX2	NOS3	breast cancer
2808:PROTX1@nn@variants@prep_to@risk@nn@PROTX2	NOS3	breast cancer
2833:PROTX1@nsubj@marker@prep_for@PROTX2	S14	breast cancer
2839:PROTX1@nsubj@factor@prep_in@PROTX2	EphB4	breast cancer
2857:PROTX1@nsubj@mediator@prep_of@apoptosis@prep_in@cells@nn@PROTX2	BTG1	breast cancer
2866:PROTX1@prep_of@hypermethylation@nsubj@undetectable@prep_in@epithelium@nn@PROTX2	RUNX3	breast
2867:PROTX1@nsubj@behaved@prep_in@cells@nn@PROTX2	RUNX3	breast cancer
2882:PROTX1@nsubj@undetectable@prep_in@lesions@nn@PROTX2	SNCG	breast
2893:PROTX1@amod@gene@prep_in@PROTX2	HER2	breast cancer
2897:PROTX1@nsubj@plays@dobj@role@prep_in@risk@nn@PROTX2	AGT	breast cancer
2901:PROTX1@nn@)@nsubj@downregulate@dobj@uptake@nn@PROTX2	HFE	iron
2903:PROTX1@nn@samples@prep_of@analysis@nsubj@revealed@dobj@PROTX2	breast	HFE
2914:PROTX1@nsubj@stimulates@dobj@activity@prep_in@cells@nn@PROTX2	KGF	breast
2916:PROTX1@nsubj@regulates@dobj@expression@prep_in@lines@nn@PROTX2	PARP	breast cancer
2926:PROTX1@nn@)@nsubj@inhibit@prep_in@cells@nn@PROTX2	HYAL1	breast cancer
2930:PROTX1@nn@infection@nsubj@activates@dobj@PROTX2	SV	CREB
2953:PROTX1@nn@tissue@prep_of@PROTX2	breast	breast cancer
2955:PROTX1@nn@disease@nsubj@developed@dobj@PROTX2	breast	breast cancer
2971:PROTX1@nsubj@belongs@prep_to@family@nn@PROTX2	Pax-5	Pax
2980:PROTX1@nsubj@induces@dobj@invasion@nn@PROTX2	HGF	CXCR4
2981:PROTX1@nsubj@receptor@partmod@involved@prep_in@homing@prep_of@PROTX2	CXCR4	breast cancer
2985:PROTX1@xsubj@enhance@dobj@phenotype@prep_of@cells@nn@PROTX2	Ets1	breast
2995:PROTX1@nn@)@partmod@selected@prep_with@)@nn@PROTX2	RPMI	CPT-11
3008:PROTX1@nsubj@alters@prep_in@cells@nn@PROTX2	MUC1	breast cancer
3010:PROTX1@nn@stimulation@nsubj@increased@prep_in@cells@nn@PROTX2	EGF	breast cancer
3013:PROTX1@nsubj@promotes@dobj@over-expression@nn@PROTX2	Pin1	D1
3015:PROTX1@nsubj@plays@prep_through@upregulation@prep_of@PROTX2	Pin1	D1
3025:PROTX1@prep_with@Association@nsubj@inhibits@dobj@down-regulation@amod@PROTX2	HSP90	Cbl-mediated
3058:PROTX1@prep_of@function@dobj@evaluate@prep_in@tissues@nn@PROTX2	HEX	breast
3061:PROTX1@nn@)@nsubj@(@dep@)@amod@PROTX2	EGFR	BCR-ABL
3064:PROTX1@nn@dysfunction@nsubj@increases@dobj@risk@prep_of@PROTX2	DSB	breast cancer
3075:PROTX1@amod@overexpression@prep_in@PROTX2	BCAS3	breast cancer
3080:PROTX1@nsubj@regulates@dobj@expression@nn@PROTX2	BRCA1-IRIS	D1
3084:PROTX1@prep_of@Over-expression@nsubj@over-activates@acomp@PROTX2	BRCA1-IRIS	JNK/c-Jun
3086:PROTX1@prep_of@depletion@nsubj@reduced@dobj@expression@amod@PROTX2	SRC1	c-Jun
3089:PROTX1@nsubj@member@prep_of@family@nn@PROTX2	HOXA5	HOX
3097:PROTX1@nn@cells@nsubjpass@stimulated@prep_with@PROTX2	breast cancer	EGF
3106:PROTX1@nsubj@phosphorylation@prep_with@PROTX2	Rb	CDK2
3111:PROTX1@nsubj@essential@prep_for@function@prep_of@PROTX2	DARC	CD82
3125:PROTX1@prep_of@association@nsubj@polymorphism@prep_with@risk@nn@PROTX2	CYP2D6	breast cancer
3126:PROTX1@nn@C@nsubj@T@prep_to@PROTX2	CYP2D6	breast cancer
3159:PROTX1@nn@)@nsubj@member@prep_of@family@nn@PROTX2	AP-2gamma	AP-2
3198:PROTX1@amod@amplification@prep_in@PROTX2	ERBB2	breast cancer
3210:PROTX1@prep_between@antagonism@nsubj@increase@dobj@invasion@nn@PROTX2	Ras	breast cancer
3213:PROTX1@nsubj@regulates@prep_in@PROTX2	Gli2	breast cancer
3219:PROTX1@amod@promoter@prep_in@PROTX2	factor-beta2	breast cancer
3238:PROTX1@nn@activity@nsubj@sufficient@prep_for@activity@nn@PROTX2	CPR	P450
3243:PROTX1@amod@activity@prep_of@Inhibition@agent@PROTX2	CYP2B1	CPR
3245:PROTX1@prep_of@effect@dobj@reveal@prep_on@activity@amod@PROTX2	CPR	CYP2B1
3293:PROTX1@nn@)@nsubj@receptor@partmod@(@dobj@)@nn@PROTX2	Ad5	CAR
3313:PROTX1@nn@phosphatase@appos@)@nn@PROTX2	CTD	FCP1
3327:PROTX1@nsubj@(@dobj@PROTX2	RP	RP
3345:PROTX1@prep_of@Inspection@nsubj@(termed@dobj@)@nn@PROTX2	cystatin	CST6
3361:PROTX1@nsubj@induces@dobj@expression@nn@PROTX2	DDR1	Cox-2
3376:PROTX1@nn@variant@nsubjpass@suggested@prep_with@PROTX2	ATM	breast cancer
3384:PROTX1@nn@N-terminal@nsubj@kinase@dobj@inhibition@prep_of@PROTX2	c-Jun	BRCA1
3395:PROTX1@prep_of@overexpression@nsubj@increases@dobj@activity@prep_of@gene@nn@PROTX2	E2F1	SRC-3
3396:PROTX1@prep_of@knockdown@nsubj@reduces@dobj@expression@nn@PROTX2	E2F1	SRC-3
3397:PROTX1@amod@activity@prep_on@promoter@nn@PROTX2	E2F1	SRC-3
3399:PROTX1@nsubj@coactivates@dobj@activity@amod@PROTX2	SRC-3	E2F1
3404:PROTX1@num@interactions@dobj@confirmed@prep_with@PROTX2	CD63	TIMP-1
3406:PROTX1@nn@overexpression@nsubj@disrupted@dobj@polarization@nn@PROTX2	TIMP-1	breast
3407:PROTX1@nn@downregulation@nsubj@reduced@dobj@PROTX2	CD63	TIMP-1
3408:PROTX1@nn@downregulation@nsubj@restored@dobj@polarization@prep_of@PROTX2	CD63	TIMP-1
3409:PROTX1@dobj@identified@prep_for@PROTX2	CD63	TIMP-1
3419:PROTX1@prep_of@significance@nsubj@protein@prep_with@carcinoma@nn@PROTX2	PTEN	breast
3446:PROTX1@prep_of@Activation@nsubj@influences@dobj@activity@prep_of@PROTX0@nn@PROTX2	PAR-2	breast cancer
3465:PROTX1@nn@mutation@prep_of@PROTX2	germ	TP53
3474:PROTX1@nsubj@centered@prep_on@mutations@nn@PROTX2	core	EGFR
3481:PROTX1@amod@regulation@prep_of@promoter@nn@PROTX2	E2F-dependent	CCNE1
3483:PROTX1@nn@cells@nsubj@lack@dobj@kinetics@prep_of@expression@nn@PROTX2	CARM1-deficient	CCNE1
3486:PROTX1@nsubj@regulator@prep_of@gene@nn@PROTX2	CARM1	CCNE1
3488:PROTX1@nsubj@regulates@prep_in@fibroblasts@nn@PROTX2	BRCA1	breast
3490:PROTX1@nsubj@inhibits@dobj@promoter@nn@PROTX2	BRCA1	breast cancer
3512:PROTX1@nsubj@inhibit@dobj@proliferation@prep_in@line]@nn@PROTX2	D1	breast cancer
3515:PROTX1@nsubj@tool@prep_in@therapy@nn@PROTX2	D1	breast cancer
3523:PROTX1@xsubj@responsible@prep_for@cancers@nn@PROTX2	BRCA1	breast cancer
3547:PROTX1@nsubj@suppresses@dobj@tumorigenesis@amod@PROTX2	Gadd45a	Ras-driven
3550:PROTX1@prep_of@loss@nsubj@accelerates@dobj@formation@amod@PROTX2	Gadd45a	Ras-driven
3553:PROTX1@amod@growth@prep_of@repression@nsubj@involves@dobj@PROTX2	ErbB2-induced	Skp2
3566:PROTX1@prep_between@demonstrated@prep_between@PROTX2	CISH	CISH
3575:PROTX1@nn@15-3@nsubj@measures@dobj@product@prep_of@gene@nn@PROTX2	CA	MUC1
3578:PROTX1@nn@cancer@prep_of@risk@prep_with@PROTX2	breast	Cox
3592:PROTX1@amod@complex@prep_of@PROTX2	FoxO-Smad	c-MYC
3604:PROTX1@amod@expression@prep_of@PROTX2	TNF-alpha-activated	D1
3607:PROTX1@nsubj@alter@dobj@profile@prep_of@cells@nn@PROTX2	BRMS1	breast
3614:PROTX1@nn@carriers@nsubj@have@dobj@risk@prep_of@prostate@nn@PROTX2	BRCA2	breast
3620:PROTX1@nn@allele@prep_of@inactivation@dobj@revealed@prep_by@PROTX2	PTEN	exon-skipping
3625:PROTX1@nsubj@interacts@prep_with@PROTX2	ZNF652	CBFA2T3
3626:PROTX1@prep_of@interaction@nsubj@was@prep_with@PROTX2	ZNF652	CBFA2T2
3629:PROTX1@prep_between@interaction@prep_between@PROTX2	EGFR	c-Cbl
3633:PROTX1@nn@risk@nsubj@involved@prep_in@metabolism@prep_of@)@nn@PROTX2	breast cancer	CYP17
3647:PROTX1@prep_of@binding@dobj@induce@prep_to@PROTX2	AhR	CYP1A1
3648:PROTX1@nn@overexpression@prep_in@)@nn@PROTX2	MYB	CRC
3651:PROTX1@nn@)@prep_in@)@nn@PROTX2	CTX	breast cancer
3655:PROTX1@nsubj@induced@dobj@sequestration@prep_of@PROTX2	Cav-1	BRCA1
3669:PROTX1@nsubj@inhibited@dobj@oncogenesis@nn@PROTX2	DACH1	breast
3671:PROTX1@nsubj@repressed@dobj@PROTX2	DACH1	D1
3677:PROTX1@amod@protein@prep_in@PROTX2	HER2	breast cancer
3689:PROTX1@amod@mutations@prep_in@PROTX2	Germ	CHEK2
3697:PROTX1@amod@protein@prep_in@tissues@nn@PROTX2	CYP1B1	breast cancer
3698:PROTX1@nn@)@nsubj@mediates@dobj@exchange@prep_of@PROTX2	ANT	ADP
3699:PROTX1@nsubj@cooperate@prep_with@PROTX2	ANT	Bax
3703:PROTX1@nn@immunoconjugates@nsubj@sensitize@dobj@cells@nn@PROTX2	Tat	breast cancer
3708:PROTX1@nsubj@caused@prep_in@cells@nn@PROTX2	CPT	MDA-MB-468
3710:PROTX1@nsubj@(@dobj@)@nn@PROTX2	EGF	ICs
3714:PROTX1@amod@domain@rcmod@PROTX2	TopBP1	rich
3719:PROTX1@prep_of@variant@nsubj@increases@dobj@expression@prep_of@cells@nn@PROTX2	CD99	breast cancer
3733:PROTX1@nsubj@inhibits@dobj@growth@prep_of@cells@nn@PROTX2	RAP	breast cancer
3740:PROTX1@nsubj@variant@prep_of@PROTX2	breast cancer	breast cancer
3750:PROTX1@nn@mutations@prep_of@frequency@nsubj@implicates@dobj@PROTX2	TP53	TP53
3762:PROTX1@nsubj@interacts@prep_with@PROTX2	Blm	Rad51
3781:PROTX1@amod@mutations@prep_in@PROTX2	Bi-allelic	BRCA2
3793:PROTX1@prep_of@role@dobj@clarify@prep_in@susceptibility@nn@PROTX2	ATM	breast cancer
3804:PROTX1@prep_of@role@dobj@investigate@prep_in@progression@nn@PROTX2	Snail	breast cancer
3810:PROTX1@amod@mutations@prep_in@PROTX2	germ-line	BRCA1
3828:PROTX1@nn@families@nsubj@identified@prep_with@PROTX2	breast cancer	ATM
3845:PROTX1@nn@sequence@nsubj@containing@dobj@PROTX2	K-ras	dG-N2-TAM
3870:PROTX1@nn@)@nsubj@reduces@dobj@alterations@prep_of@coupling@nn@PROTX2	NRG	EC
3872:PROTX1@nsubj@affect@dobj@coupling@nn@PROTX2	NRG	EC
3874:PROTX1@nsubj@attenuates@dobj@alterations@prep_of@coupling@nn@PROTX2	NRG	EC
3878:PROTX1@nn@polymorphism@prep_in@women@prep_with@PROTX2	RAD51	breast cancer
3883:PROTX1@nsubj@induced@prep_with@PROTX2	TNF	bcl3
3884:PROTX1@nsubj@increased@dobj@the@prep_on@promoter@nn@PROTX2	TNF	D1
3885:PROTX1@nsubj@stimulated@dobj@occupancy@prep_of@PROTX2	TNF	RelB
3886:PROTX1@nsubj@stimulates@dobj@interaction@prep_of@PROTX2	TNF	bcl3
3887:PROTX1@nsubj@compensate@prep_in@growth@amod@PROTX2	RelB	TNF-stimulated
3893:PROTX1@nn@)@nsubj@member@prep_of@family@prep_along_with@PROTX2	ATR	ATM
3921:PROTX1@nsubj@interacts@prep_with@PROTX2	TReP-132	PR
3922:PROTX1@amod@synergizes@prep_with@PROTX2	TReP-132	PR
3957:PROTX1@amod@haplotypes@prep_between@association@prep_between@PROTX2	COMT	breast cancer
3960:PROTX1@nsubj@biomarker@prep_for@PROTX2	MT	breast cancer
3976:PROTX1@nn@genotypes@nsubjpass@determined@prep_with@PROTX2	ACE	breast cancer
3979:PROTX1@nsubj@influence@dobj@growth@prep_of@PROTX2	ACE	breast cancer
3983:PROTX1@amod@)@prep_between@assessed@prep_between@)@nn@PROTX2	breast cancer	CRC
3989:PROTX1@nsubj@member@prep_of@PROTX2	RasL10B	Ras
4001:PROTX1@nn@)@nsubj@attenuated@dobj@loss@prep_of@phosphorylation@prep_of@PROTX2	FB1	p38
4002:PROTX1@nsubj@resided@prep_in@mitochondria@amod@PROTX2	phospho-p38	PMA-stimulated
4011:PROTX1@nsubj@Leu10Pro@dobj@morbidity@nn@PROTX2	beta1	breast cancer
4013:PROTX1@nn@cells@nsubj@have@dobj@loop@nn@PROTX2	breast cancer	AR
4016:PROTX1@amod@antibody@nsubj@reduced@dobj@activity@nn@PROTX2	AR-neutralizing	EGFR
4038:PROTX1@prep_of@haplotypes@nsubj@play@dobj@role@prep_in@PROTX2	BRCA1	breast cancer
4049:PROTX1@nsubj@target@amod@PROTX2	Tyr-845	c-Src
4064:PROTX1@nsubj@progress@dobj@PROTX2	ERBB2	path
4076:PROTX1@nsubj@regulated@partmod@inhibiting@dobj@promoter@amod@PROTX2	D1	Skp2
4077:PROTX1@nsubj@interacts@prep_with@PROTX2	Nanos1	p120ctn
4080:PROTX1@nsubjpass@detected@dobj@tissue@nn@PROTX2	FXR	breast
4081:PROTX1@nsubj@present@prep_in@cells@nn@PROTX2	FXR	breast
4109:PROTX1@num@associates@nsubj@associated@dobj@)@nn@PROTX2	HSF1	MTA1
4123:PROTX1@amod@overexpression@prep_in@PROTX2	c-Myc	breast cancer
4125:PROTX1@amod@resistance@prep_in@PROTX2	c-Myc	breast cancer
4127:PROTX1@amod@overexpression@prep_in@PROTX2	c-Myc	breast cancer
4138:PROTX1@prep_of@action@dobj@examined@prep_in@expression@nn@PROTX2	PUFA	COX-2
4140:PROTX1@nsubj@reduced@dobj@expression@amod@PROTX2	PUFA	COX-2
4143:PROTX1@nn@polymorphism@prep_between@association@prep_between@PROTX2	CYP1B1	breast cancer
4145:PROTX1@amod@polymorphism@prep_between@association@prep_between@PROTX2	CYP1B1	breast cancer
4160:PROTX1@prep_of@Endocytosis@nsubjpass@associated@prep_with@activation@prep_of@PROTX2	DBP	VDR
4165:PROTX1@prep_of@role@prep_in@development@nn@PROTX2	ATM	breast cancer
4166:PROTX1@nn@heterozygotes@nsubj@have@dobj@risk@prep_of@PROTX2	ATM	breast cancer
4228:PROTX1@num@genotypes@prep_of@association@dobj@investigated@prep_with@PROTX2	MBL2	breast cancer
4233:PROTX1@nsubj@ligand@dobj@expressions@nn@PROTX2	Fas	FasL
4234:PROTX1@nn@cascade@nsubj@regulates@dobj@activity@amod@PROTX2	Wnt-Axin2-GSK3beta	Snail1
4242:PROTX1@nn@carriers@nsubj@face@dobj@risk@prep_of@development@nn@PROTX2	BRCA1	breast cancer
4247:PROTX1@prep_between@association@prep_between@PROTX2	CYP17	CYP1B1
4265:PROTX1@prep_of@Activation@nsubj@depended@prep_on@activity@amod@PROTX2	ATF2	p38
4268:PROTX1@nn@SNP309@nsubj@accelerates@dobj@carcinogenesis@nn@PROTX2	MDM2	breast
4274:PROTX1@nn@SNP309@nsubj@accelerates@dobj@carcinogenesis@nn@PROTX2	MDM2	breast
4299:PROTX1@nn@studies@prep_of@multitude@nsubj@has@dobj@PROTX2	breast cancer	breast cancer
4316:PROTX1@amod@cross-talk@prep_between@PROTX2	bi-directional	FAS
4317:PROTX1@nn@expression@nsubj@represent@dobj@factor@prep_for@response@nn@PROTX2	FAS	breast cancer
4328:PROTX1@nn@sequence@nsubj@containing@dobj@)@nn@PROTX2	STS	SNP
4343:PROTX1@amod@domain@prep_of@PROTX2	cap-binding	eIF4E
4359:PROTX1@nn@celecoxib@nsubj@enhances@prep_on@growth@nn@PROTX2	COX-2	breast
4367:PROTX1@nn@expression@nsubj@suppressed@dobj@growth@prep_of@cells@nn@PROTX2	cystatin	breast cancer
4371:PROTX1@nn@cells@prep_with@)@amod@PROTX2	breast cancer	(5-Aza-CdR
4388:PROTX1@prep_of@phosphorylation@nsubj@caused@dobj@stability@prep_of@protein@amod@PROTX2	FoxM1	FoxM1
4391:PROTX1@amod@mAbs@nsubj@recognize@dobj@portion@prep_of@protein@nn@PROTX2	anti-POTE	POTE
4404:PROTX1@nn@repression@prep_of@PROTX2	E2F-dependent	BRCA1
4426:PROTX1@nsubj@activated@dobj@kinase@amod@PROTX2	OSM	c-Jun
4464:PROTX1@amod@amplification@prep_in@PROTX2	Her2	breast cancer
4481:PROTX1@amod@protein@prep_in@PROTX2	LKB1	breast cancer
4482:PROTX1@nsubj@plays@prep_in@PROTX2	LKB1	breast cancer
4485:PROTX1@amod@protein@prep_in@PROTX2	Dab2	breast cancer
4496:PROTX1@prep_of@study@nsubj@amplicon@prep_to@PROTX2	ERBB2	breast cancer
4497:PROTX1@nsubjpass@amplified@prep_in@tumours@nn@PROTX2	ERBB2	breast
4505:PROTX1@nn@)@nsubj@account@prep_for@%@prep_of@PROTX2	CLC	breast cancer
4527:PROTX1@nsubj@decreased@dobj@expression@prep_of@PROTX2	DES	Gadd45a
4528:PROTX1@nn@)@nsubj@(@dep@)@amod@PROTX2	EGFR	BCR-ABL
4539:PROTX1@nsubj@increased@dobj@expression@prep_of@PROTX2	DES	CYP1A1
4540:PROTX1@nsubj@decreased@dobj@expression@prep_of@PROTX2	DES	GST
4543:PROTX1@nsubjpass@identified@prep_as@target@prep_of@PROTX2	FOXA1	GATA-3
4548:PROTX1@nsubj@induce@dobj@phenotype@prep_in@cells@nn@PROTX2	LOX	MCF-10A
4554:PROTX1@prep_of@prognosis@nsubj@spare@dobj@number@prep_of@patients@nn@PROTX2	breast cancer	breast cancer
4565:PROTX1@nsubj@reduced@dobj@levels@prep_of@PROTX2	CP-31398	CXCR4
4580:PROTX1@nn@factors@prep_of@Expression@prep_in@tissue@nn@PROTX2	RBM5-related	breast
4591:PROTX1@nsubj@factor@amod@PROTX2	SR-A1	SR-related
4599:PROTX1@nn@)@prep_of@amplification@nsubj@characterize@dobj@line@nn@PROTX2	FGFR2	breast cancer
4605:PROTX1@prep_of@isoforms@dobj@spliced@prep_with@terminus@amod@PROTX2	FGFR2	C3
4614:PROTX1@amod@status@prep_in@PROTX2	HER2	breast cancer
4631:PROTX1@nn@gene@prep_of@induction@nsubj@dependent@prep_on@activation@nn@PROTX2	D1	PR
4651:PROTX1@nn@phosphorylation@prep_by@PROTX2	Fhit	Src
4653:PROTX1@nn@members@prep_of@Activation@nsubj@induced@dobj@phosphorylation@nn@PROTX2	EGF	Fhit
4677:PROTX1@amod@variants@prep_in@PROTX2	Germ-line	CHEK2
4690:PROTX1@xsubj@localize@dobj@RNA@nn@PROTX2	BRCA1	XIST
4692:PROTX1@nsubj@supports@dobj@localization@prep_of@RNA@nn@PROTX2	BRCA1	XIST
4694:PROTX1@nsubj@paint@dobj@territory@nn@PROTX2	BRCA1	XIST
4699:PROTX1@prep_such_as@factors@nsubj@impact@dobj@RNA@nn@PROTX2	BRCA1	XIST
4706:PROTX1@appos@domain@nsubj@necessary@prep_for@activation@amod@PROTX2	acid-rich	Elf3
4711:PROTX1@nsubj@resistance@prep_to@therapy@nn@PROTX2	breast cancer	TAM
4756:PROTX1@nn@domain@nsubj@binding@prep_with@PROTX2	core	BRCA1-BRCT
4758:PROTX1@nn@siRNA@prep_to@cells@nn@PROTX2	HER2	HER2-overexpressing
4778:PROTX1@prep_of@expression@nsubj@inhibited@dobj@growth@prep_of@lines@nn@PROTX2	FOXA1	breast cancer
4791:PROTX1@amod@data@dobj@matching@prep_to@databases@nn@PROTX2	LC-MS	AMT
4800:PROTX1@nsubj@regulates@prep_in@cancers@nn@PROTX2	Runx2	breast
4833:PROTX1@nn@overexpression@nsubj@suppressed@dobj@potential@prep_of@cells@nn@PROTX2	RUNX3	MDA-MB-231
4837:PROTX1@nn@analysis@prep_of@Integration@nsubj@reveals@dobj@profiles@nn@PROTX2	SNP	SNP
4839:PROTX1@nsubj@induces@dobj@expression@prep_in@cells@nn@PROTX2	EGF	breast cancer
4844:PROTX1@nn@cells@prep_with@PROTX2	breast cancer	EGF
4850:PROTX1@prep_between@interaction@prep_between@PROTX2	ErbB2	ErbB3
4851:PROTX1@nsubj@enhances@dobj@formation@prep_of@PROTX2	c-Src	ErbB2
4855:PROTX1@prep_of@%@nsubj@contain@dobj@sequences@nn@PROTX2	breast cancer	env
4857:PROTX1@prep_of@effects@dobj@probed@prep_on@function@nn@PROTX2	EGF	PR
4858:PROTX1@nsubj@induced@dobj@PROTX2	EGF	PRs
4859:PROTX1@nsubj@induced@prep_to@activity@amod@PROTX2	EGF	PR-B
4861:PROTX1@nsubj@demonstrated@dobj@phosphorylation-dependence@prep_of@TGFalpha@nn@PROTX2	RT-PCR	PR
4863:PROTX1@nsubj@exhibited@dobj@growth@nn@PROTX2	PR	agar
4869:PROTX1@nn@allele@prep_in@families@nn@PROTX2	breast cancer	breast cancer
4880:PROTX1@prep_of@Identification@partmod@contributing@prep_to@carcinogenesis@nn@PROTX2	D1-	breast
4886:PROTX1@nn@expression@prep_of@PROTX2	breast	CCR7
4895:PROTX1@nsubj@predict@dobj@presence@prep_of@status@amod@PROTX2	breast cancer	non-SLN
4909:PROTX1@nsubj@plays@prep_from@PROTX2	ATR	ATR
4937:PROTX1@nsubjpass@associated@prep_with@adhesion@amod@PROTX2	Tie2	beta1-dependent
4940:PROTX1@amod@stimulation@nsubj@resulted@prep_to@PROTX2	Ang1	IV
4946:PROTX1@nsubj@expresses@dobj@level@prep_of@PROTX2	breast cancer	cox-2
4962:PROTX1@nsubj@encodes@dobj@protein@nn@PROTX2	PALB2	BRCA2-interacting
4963:PROTX1@num@interacts@prep_with@PROTX2	PALB2	BRCA2
4964:PROTX1@nn@mutations@prep_in@individuals@prep_with@PROTX2	PALB2	breast cancer
4974:PROTX1@amod@protein@appos@PROTX2	pro-apoptotic	bax
5002:PROTX1@xsubj@form@dobj@PROTX2	tat	Tat-QDs
5010:PROTX1@prep_of@combination@nsubjpass@applied@prep_to@model@nn@PROTX2	MS	breast
5033:PROTX1@nn@)@nsubj@composed@prep_of@peptides@amod@PROTX2	ICs	16-mer
5036:PROTX1@prep_of@subpopulation@prep_of@association@dobj@report@prep_with@complex@nn@PROTX2	CTCF	Pol
5053:PROTX1@prep_of@Activation@xsubj@regulate@dobj@biology@nn@PROTX2	IGF1R	breast cancer
5058:PROTX1@amod@down-regulation@nsubj@affect@dobj@levels@nn@PROTX2	IGF1R	IR
5080:PROTX1@nn@carcinomas@prep_on@data@prep_with@PROTX2	breast	breast cancer
5100:PROTX1@nsubjpass@associated@prep_with@PROTX2	MDM2-SNP309	breast cancer
5108:PROTX1@nsubj@reduces@dobj@progression@prep_of@(MCF-7@nn@PROTX2	WAP	breast cancer
5111:PROTX1@nsubj@has@dobj@function@prep_on@progression@prep_of@cells@nn@PROTX2	WAP	breast cancer
5113:PROTX1@nn@mutation@prep_of@Identification@prep_in@families@nn@PROTX2	BRCA2	breast cancer
5120:PROTX1@amod@attenuation@prep_in@PROTX2	Bin1	breast cancer
5124:PROTX1@prep_of@groups@prep_in@associated@prep_with@metastasis@nn@PROTX2	breast cancer	nodal
5126:PROTX1@prep_of@Activation@nsubj@leads@prep_to@expression@nn@PROTX2	PKCdelta	D1
5131:PROTX1@amod@testing@prep_in@PROTX2	BRCA1	breast
5160:PROTX1@prep_between@association@prep_between@PROTX2	ABCB1	ABCG2
5161:PROTX1@prep_of@role@nsubj@influence@dobj@risk@prep_of@PROTX2	CYP1B1	breast cancer
5163:PROTX1@nn@therapy@prep_in@patients@prep_with@PROTX2	Pre	breast cancer
5168:PROTX1@xsubj@suppress@dobj@metastasis@prep_of@cells@nn@PROTX2	BRMS1	breast cancer
5170:PROTX1@nn@treatment@prep_with@)@nn@PROTX2	term	EGF
5174:PROTX1@nn@cells@prep_to@)@nn@PROTX2	breast cancer	CPT
5176:PROTX1@nn@knock@partmod@exposed@prep_to@PROTX2	Bid	CPT
5187:PROTX1@nn@imaging@prep_with@)@amod@PROTX2	PET	[(64)Cu]chelator-PNA-D(Cys-Ser-Lys-Cys
5195:PROTX1@nn@complex@prep_in@tumorigenesis@nn@PROTX2	PRC1-KIF2C/MCAK	breast
5209:PROTX1@nn@combination@nsubj@delayed@dobj@growth@prep_of@tumor@nn@PROTX2	TAM	breast
5211:PROTX1@nsubj@inhibits@dobj@progression@prep_by@PROTX2	Btg2	D1
5223:PROTX1@nn@trophoblasts@prep_in@)@nn@PROTX2	term	TNF-alpha
5227:PROTX1@nsubjpass@complexed@prep_with@PROTX2	PSD	TAT
5228:PROTX1@nsubj@micelles@prepc_upon@mixing@prep_with@PROTX2	TAT	PSD-b-PEG
5229:PROTX1@prep_of@one@nsubj@micelles@dobj@)@amod@PROTX2	TAT	nm
5232:PROTX1@nsubjpass@lost@prep_in@tumours@nn@PROTX2	AIP	PAP
5242:PROTX1@nn@amplicon@prep_to@looked@prep_including@PROTX2	ERBB2	AKT3
5244:PROTX1@amod@size@prep_of@PROTX2	ERBB2	PTGS2
5245:PROTX1@prep_of@Alternative@nsubj@associated@dobj@PROTX2	breast cancer	BRCA1
5280:PROTX1@nn@overexpression@nsubj@feature@prep_of@disorders@nn@PROTX2	FRA-1	breast
5294:PROTX1@nsubj@reductase@dobj@)@nn@PROTX2	P450	P450
5297:PROTX1@nn@cell@partmod@transfected@prep_with@)@amod@PROTX2	breast cancer	pVit-tk-LUC
5345:PROTX1@nn@samples@nsubj@showed@dobj@downregulation@prep_of@expression@nn@PROTX2	breast cancer	TSLC1
5355:PROTX1@amod@status@prep_in@PROTX2	HER2	breast cancer
5388:PROTX1@amod@status@prep_in@PROTX2	HER2	breast cancer
5397:PROTX1@nsubjpass@involved@prep_in@stages@prep_of@carcinogenesis@nn@PROTX2	S100P	breast
5400:PROTX1@amod@protein@prep_in@PROTX2	S100P	T47D-S100P-A/S
5415:PROTX1@nsubj@activates@dobj@expression@nn@PROTX2	BRCA1-IRIS	D1
5429:PROTX1@amod@expression@prep_of@PROTX2	c-Jun-mediated	ABCB1
5434:PROTX1@nn@activity@prep_of@gene@nn@PROTX2	ras	LOX
5435:PROTX1@nsubj@inhibits@dobj@transformation@prep_of@cells@nn@PROTX2	LOX-PP	breast cancer
